miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-miR-4679	0	0	0	6	0	0	3	1	0	2	0	1	1	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
hsa-miR-4680-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
hsa-miR-4681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4682	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4683	2	22	0	1	0	0	2	2	0	1	0	0	2	0	3	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-4684-3p	18	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	7	51	46	12	6	2	22	7	19	7	17	25	34	1	3	4	0	4	6	36	10	6	37	19	8	42	28	1	4	0	4	0	7
hsa-miR-4685-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-3p	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-5p	0	0	0	0	0	1	7	1	0	0	1	3	0	0	0	0	0	0	6	0	3	4	0	0	0	17	22	0	0	0	1	0	2
hsa-miR-4688	4	16	0	3	4	0	0	1	5	3	7	1	3	0	4	0	3	0	6	45	3	0	1	0	1	6	0	0	0	0	2	4	0
hsa-miR-4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-4690-3p	0	0	0	1	13	0	3	3	0	0	12	4	0	60	0	15	0	0	0	0	0	0	2	1	4	23	38	4	0	0	0	0	1
hsa-miR-4690-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-3p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	9	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	2	0	0	0	2	15	1	0	0	0	0	0	0
hsa-miR-4695-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4696	0	1	13	0	1	0	1	1	0	0	8	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	4	1
hsa-miR-4697-3p	0	0	0	0	0	0	0	3	2	0	9	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4697-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-3p	0	1	15	1	0	4	3	1	0	0	7	0	0	0	2	0	0	0	1	0	1	3	0	0	2	0	0	0	0	0	10	0	0
hsa-miR-4699-5p	2	0	0	2	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0
hsa-miR-4700-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0
hsa-miR-4700-5p	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	0	0	2	6	0	0	1	0	4	0	1	1	0	27	0	0	12	0	0	0	4	5	0	0	0	26	1	9	0	0	0	0	2
hsa-miR-4703-3p	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-4703-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4705	641	497	482	526	279	498	569	302	192	82	829	504	151	711	316	230	362	117	338	169	267	376	325	1523	269	1689	2575	224	249	49	389	126	175
hsa-miR-4706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
hsa-miR-4707-3p	0	4	4	0	0	9	0	0	7	2	0	0	28	5	8	0	0	0	3	0	0	0	1	129	0	8	0	11	0	0	0	0	0
hsa-miR-4707-5p	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4708-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4708-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-3p	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
hsa-miR-4709-5p	0	0	0	0	0	0	1	8	0	0	1	5	1	12	3	0	10	0	4	14	1	1	2	0	4	24	20	0	0	0	0	0	0
hsa-miR-4710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4712-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4713-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4713-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-3p	1	3	26	0	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0
hsa-miR-4714-5p	1	0	1	0	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	12	5	0	0	22	0	14	25	0	0	0	0	0	0
hsa-miR-4715-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4716-3p	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-4716-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	4	0	0	16	6	0	3	2	2	0	21	0	0	27	1	0	11	0	1	2	7	2	9	0	9	20	19	1	4	2	0	0	2
hsa-miR-4717-5p	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0
hsa-miR-4718	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
hsa-miR-4720-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-5p	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
hsa-miR-4721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-3p	13	2	2	0	0	0	2	0	1	0	5	7	0	0	7	8	0	0	4	0	3	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-5p	0	0	1	0	0	0	0	0	5	2	0	5	0	0	0	0	0	1	0	8	4	0	0	0	0	9	14	0	0	0	0	0	2
hsa-miR-4724-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	20	0	0	0	0	0	2
hsa-miR-4725-3p	9	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	27	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4727-3p	2	0	18	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0
hsa-miR-4727-5p	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-3p	0	3	2	2	0	3	1	1	4	1	0	4	11	0	5	15	0	0	0	0	11	1	2	7	4	1	0	0	0	0	0	0	2
hsa-miR-4728-5p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4729	0	0	14	3	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
hsa-miR-4730	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-3p	5	0	0	0	0	0	0	0	3	0	2	14	0	7	0	0	0	0	4	1	4	0	0	0	0	10	8	0	0	0	0	0	1
hsa-miR-4731-5p	14	1	0	0	0	0	0	0	1	0	1	10	0	14	0	0	0	0	0	1	1	0	0	45	4	0	0	1	0	0	0	0	0
hsa-miR-4732-3p	3	0	1	0	0	0	1	0	2	0	0	0	17	0	1	0	0	0	0	1	4	2	0	0	0	15	1	3	0	0	0	0	0
hsa-miR-4732-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4733-3p	3	24	1	6	0	0	0	3	1	0	0	2	1	0	1	0	6	0	1	1	0	0	0	24	2	20	1	3	0	0	0	0	1
hsa-miR-4733-5p	0	10	6	8	1	1	8	11	8	0	0	1	1	23	12	0	0	1	9	0	8	7	20	0	0	22	61	4	0	4	17	0	0
hsa-miR-4734	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4735-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-5p	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4738-3p	14	36	29	8	2	0	8	0	8	1	17	13	14	2	5	0	6	0	11	13	6	8	2	56	12	12	33	0	1	3	1	0	2
hsa-miR-4738-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4739	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4742-3p	18	29	50	35	4	0	12	16	11	2	22	23	26	81	9	19	7	8	27	65	4	30	8	153	34	69	96	14	0	1	17	0	3
hsa-miR-4742-5p	25	8	54	22	6	1	16	29	4	4	11	12	3	38	5	5	1	13	17	25	6	8	6	92	17	31	12	0	8	0	10	0	7
hsa-miR-4743-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-5p	19	33	34	6	3	0	5	0	2	0	1	1	2	2	3	0	0	0	0	2	4	9	0	32	2	42	0	0	5	0	0	1	5
hsa-miR-4744	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	27	10	4	1	5	0	2	0	0	0	0	2	0	0	0	0	0	0	4	0	4	4	0	0	0	1	20	1	0	0	0	0	0
hsa-miR-4745-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-5p	0	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0
hsa-miR-4747-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4747-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4749-3p	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4749-5p	2	0	0	1	5	1	0	6	0	0	4	0	0	0	2	7	0	0	2	1	4	0	0	0	0	17	0	0	0	0	0	0	0
hsa-miR-4750-3p	6	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4750-5p	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	2	0	0	0	0	4	0	0	0	0	0	0	0
hsa-miR-4751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4753-3p	0	1	0	1	0	1	0	0	0	1	0	0	5	0	0	0	0	0	2	0	0	0	0	13	0	19	0	0	0	0	0	0	0
hsa-miR-4753-5p	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-4755-3p	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-4755-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4756-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4757-3p	12	6	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	4	0	1
hsa-miR-4757-5p	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	4	5	0	2	0	0	0	6	2	0	0	0
hsa-miR-4758-3p	2	5	1	0	0	0	8	0	0	1	0	2	26	0	0	0	0	0	1	0	0	0	0	0	0	36	0	0	0	0	0	0	1
hsa-miR-4758-5p	0	1	12	4	7	0	1	0	0	3	0	4	1	0	2	0	1	0	0	0	2	0	0	0	1	10	0	1	0	2	0	0	0
hsa-miR-4759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-3p	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
hsa-miR-4760-5p	0	0	0	6	0	1	15	10	2	3	7	1	0	62	2	0	3	3	3	0	5	3	0	16	0	59	57	2	0	0	2	0	2
hsa-miR-4761-3p	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
hsa-miR-4761-5p	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-4762-5p	0	9	13	0	0	0	1	4	0	2	2	0	0	0	4	0	0	0	0	0	0	2	5	0	3	14	9	0	0	0	0	0	1
hsa-miR-4763-3p	8	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4763-5p	2	0	2	3	0	0	0	1	0	0	14	3	0	0	0	0	0	0	6	0	1	3	0	0	1	8	0	0	0	0	4	0	0
hsa-miR-4764-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-5p	1	10	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0
hsa-miR-4765	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
hsa-miR-4766-3p	0	1	0	2	0	0	0	0	6	0	0	0	0	16	0	1	0	0	1	4	1	0	0	0	4	0	0	0	0	0	3	0	0
hsa-miR-4766-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4767	2	1	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
hsa-miR-4768-5p	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-4769-3p	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4769-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	1	8	1	7	0	0	0	0	0	0	0	4	5	0	0	0	0	4	0	2	1	0	0	0	0	11	0	1	0	0	5	8	0
hsa-miR-4772-5p	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0
hsa-miR-4773	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-5p	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0
hsa-miR-4775	12	1	0	2	4	0	7	0	0	0	14	4	0	0	1	10	4	2	1	0	7	3	0	0	0	8	11	0	1	0	2	0	0
hsa-miR-4776-3p	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4776-5p	2	41	1	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
hsa-miR-4777-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4780	16	5	28	0	10	0	1	5	21	10	1	5	1	21	3	0	10	8	0	79	5	3	2	1	6	50	44	0	0	0	0	0	1
hsa-miR-4781-3p	33	17	7	13	19	8	14	8	3	3	20	9	18	56	3	13	8	0	28	1	9	17	0	22	5	38	3	0	0	0	0	17	5
hsa-miR-4781-5p	0	0	0	0	2	1	0	0	4	4	0	0	0	7	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-4782-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4782-5p	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	3	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4784	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
hsa-miR-4785	0	1	0	0	2	0	0	6	3	0	12	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	13	0	0	0	0	0	0
hsa-miR-4786-3p	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4786-5p	1	0	0	0	0	0	0	4	3	0	5	0	0	0	0	0	0	0	4	0	3	0	8	0	0	1	36	0	0	0	1	0	1
